Id_Basol	Extracted_institution	BASOL_institution	Basias_institution
03.0064	{'JYS CHROME', 'La société Joël Christ'}	{'JYS CHROME'}	{'Sté JYS Chrome'}
03.0047	{'la DREAL', 'la société Drahzug Stein Cusset', '" ALTIA Cusset', 'la SAS Les Préférés', 'la commune de Cusset', 'le préfet', 'la mairie de Cusset', 'EURODEC Industries', 'la société APPLIFIL SAS', 'la SAS APPLIFIL', 'la société " HALBERG précision SA'}	{'APPLIFIL SAS'}	{'SA APPLIFIL - VANEL. Anc. SBAFM (Sté Bourbonnaise des Applications du Fil Métallique)'}
94.0015	{'simazine', 'la société Phyto Labo', 'la Société PHYTO LABO', 'la société exploitante'}	{'PHYTO LABO (ex)'}	{'PHYTO LABO SARL'}
77.0139	{'européen CITYCHLOR', 'le Préfet', "l' INERIS", 'MOD', 'La société METAUX OUVRES ET DECORES', 'La société MOD', 'le Haut Conseil de la Santé Publique'}	{'METAUX OUVRES ET DECORES'}	{'Métaux Oeuvrés et Décorés, Ex. Cuivrerie Hocquart'}
91.0093	{'la société CGTC', 'Ericsson', 'Matra Ericsson Télécommunications', 'Construction Générale de Construction Téléphonique'}	{'ERICSSON'}	{'ERICSSON, ex CGCT (Compagnie Générale de Constructions Téléphoniques)'}
91.0039	{"la SCI de l' Essonne", 'Me Horel', 'La Compagnie Papetière', 'SCI', 'le préfet', "la Cour d' appel de Versailles", "la cour d' appel de Versailles", 'chrysolite', "la ministre de l' Ecologie", 'la commune de Corbeil', 'le Préfet', 'La société Bouygues', 'la société Intermarts', 'la SAEIEM', 'le SIARCE', 'la CPE', 'la Trésorerie', 'la mairie de Corbeil', 'Me Lessertois', 'CPE'}	{"ANCIEN SITE PAPETIER DE CPE(compagnie papetière de l'Essonne)"}	{"CPE (compagnie papetière de l'Essonne)"}
78.0056	{'la société LINDE HOLDING', 'le préfet des Yvelines', 'la société FENWICK - LINDE'}	{'FENWICK - LINDE'}	{'FENWICK MANUTENTION (SOCIETE INDUSTRIELLE), anc. BAUCHE (S.A. EUGENE)'}
92.0063	{'PSA Peugeot Citroen', 'la société PSA PEUGEOT CITROEN', 'PSA Peugeot Citroën', 'la Préfecture des Hauts de Seine'}	{'PSA PEUGEOT CITROEN'}	{'Peugeot Citroen PSA'}
94.0047	{'la société Francilienne', 'La société Francilienne', 'Sita Remédiation'}	{'CALDEO (EX FRANCILIENNE DE CONFORT)'}	{"FRANCILIENNE DE CONFORT, ex LES PETROLIERS REUNIS DE L'OUEST"}
95.0019	{'SILAR', 'La Société SILAR', 'la Société SILAR'}	{'SILAR'}	{'SILAR, Société'}
93.0063	{'Johnson', 'la société Johnson Diversey', 'SEQUANO', 'l’ EPFIF', 'la société Sealed Air Diversey'}	{'Johnson Diversey'}	{'DIVERSEY LEVER . LEVER INDUSTRIEL'}
94.0060	{'la société BIDAULT , ELION & CIE', 'La société DAVUM', 'USINOR', 'la Sté DAVUM', 'la Sté EDITH CAVELL', 'la préfecture', 'BAIL INDUSTRIE', 'groupe ARCELOR', 'AIR LIQUIDE', 'la société DAVUM'}	{'AIR LIQUIDE - Rue des Fusillés'}	{'AIR LIQUIDE (SA)'}
78.0030	{'la société REFINAL INDUSTRIES', 'le préfet', 'le préfet des Yvelines', 'La société REFINAL INDUSTRIES', 'la société REFINAL', 'APROMETAL'}	{'REFINAL (ex APROMETAL)'}	{"APROMETAL (SOCIETE), anc.  AFFICUIVRE (SOCIETE), anc. AFFINAGE DU CUIVRE (SOCIETE FRANCAISE D')"}
95.0063	{'GRIFFINE ENDUCTION', 'groupe belge , MECASEAT', 'La Société GRIFFINE ENDUCTION', 'la Société GRIFFINE', 'la Société INERGY AUTOMOTIVE'}	{'GRIFFINE ENDUCTION'}	{'Griffine Enduction'}
95.0035	{'La société Microsurfaces(traitement', 'la DDASS'}	{'Microsurfaces'}	{'MICROSURFACES, Sté'}
95.0057	{'Hutchinson', 'société HUTCHINSON', 'MAPA - FIT', 'MAPA FIT', 'préfet', 'HUTCHINSON'}	{'HUTCHINSON MAPA'}	{'HUTCHINSON-MAPA, Société (ex MAPA-FIT, Société)'}
77.0050	{'la raffinerie TOTAL', 'le préfet'}	{'RAFFINERIE TOTAL Grandpuits (ex ELF ANTAR FRANCE)'}	{'ELF ANTAR France, Ex : PROCICA'}
92.0052	{'TRAPIL'}	{'TRAPIL (ex SPI) TO1 NORD'}	{'TRAPIL T1 Nord', 'TRAPIL T1 Est', 'Trapil', "TRAPIL (Société des Transports Pétroliers par Pipeline), anc. Dexel (Société), anc. G. Genet Ordures Services, anc. Société des Docks Pétroliers de Paris, anc. Société Pétrolière d'Importation"}
78.0084	{'le préfet', 'La société WATTELEZ', 'la société WATTELEZ'}	{'WATTELEZ'}	{'WATTELEZ'}
77.0096	{'Haut Conseil en Santé Publique', 'SUEZ REMEDIATION', 'le Préfet', 'la DRIRE'}	{'FINANCIERE PORTEFOIN (ex ENGELHARD-CLAL)'}	{'ENGELHARD-CLAL, Ex : Comptoir Lyon Alemand Louyol'}
91.0074	{"le Ministère de l' Environnement", 'GDF', 'Gaz de France', 'EDF - GDF'}	{'Ancienne usine à gaz de Corbeil'}	{'GDF, ex CIE CONTINENTALE DU GAZ, ex ARMAND, ex BEGLET Henri'}
03.0055	{'Mr Claude RODDE', 'Le SIVOM', 'produits PREFA BETON', 'la DREAL', 'les services de la DDAS', 'la SARL PREFA BETON'}	{'PREFA BETON'}	{'SARL PREFA-BETON'}
43.0005	set()	{'TANNERIES DU PUY'}	{'Tanneries du Puy. Les Fils de F.Floquet'}
63.0021	{'VAURE', 'BERAUDY - VAURE', 'la DRIRE', 'BERAUDY', 'le site BERAUDY', 'les Ets BERAUDY', 'Les établissements BERAUDY'}	{'Anciens ETS BERAUDY et VAURE SA'}	{'BERAUDY  VAURE'}
63.0025	{'La DRIRE', 'le groupe Bourin', 'la société Lavoilotte'}	{'Anciens Ets Sarl LAVOILOTTE'}	{'LAVOILOTTE et COMPANIE'}
63.0051	{'FONTEX', 'BIOBASIC', 'la société ATMB', "l' entreprise ARTEMIS", 'urée', 'ISOREL', 'BSDI', 'la société ISOREL', 'la société ESPRIT ORANGERAIE'}	{'Usine Fontex'}	{'FONTEX SA'}
03.0020	{'la Société Charles AURAIX', 'TOTAL', 'VICHY - RHUE', 'BOSTIK', 'la société Charles Auraix', 'La société BOSTIK'}	{'Ancienne usine BOSTIK'}	{'SA BOSTIK. Anc. Sté Nouvelle des Ets. Charles AURAIX. Anc. Sté AURAIX'}
43.0010	{'Maitre Reau', 'SFT', 'La société de Textile', 'la Société Forézienne de Teinturerie', 'Ets BELINAC', 'La Société de Fabrication Textile', 'La SFT'}	{'Anciens Ets SFT( Société de Fabrication Textile)'}	{'Soc de TEINTURERIE FOREZIENNE , Entreprise D.BERAUD TISSUS et FILS (SARL)'}
03.0039	{'un supermarché STOC', 'CHAMPION', 'la DREAL'}	{'Ancien supermarché CHAMPION- station service'}	{'STOC SUPERMARCHE'}
63.0012	{'PRECIFORGE'}	{'PRECIFORGE'}	{'PRECIFORGE SA'}
03.0013	set()	{'LAGARDE CUSSET'}	{'Ets LAGARDE'}
63.0008	{'le tribunal administratif de Clermont - Ferrand', 'la Sté TEILHOL', 'le tribunal de commerce de Clermont - Ferrand', 'maître HOELTGEN', 'par le préfet du Puy', 'les établissements TEILHOL', 'La mairie de COURPIERE', 'Les établissements TEILHOL', 'la DRIRE', 'par la', 'Ets TEILHOL', 'la société EVM RECYCLAGE AUTOMOBILE', 'La Société EVM', 'Thiers'}	{'Anciens Ets TEILHOL'}	{'TEILHOL SA'}
03.0010	{'la DRIRE', 'la société Pharma Chimie'}	{"ALL' CHEM"}	{"Sté ALL'CHEM. S.A. CEDAL. Sté PROCHAL (Produits Chimiques de l'Allier)"}
63.0057	{'M Blaise HENRION', 'la société Forge', 'la DREAL'}	{"ISSARD ET FILS (FORGES DE L'EMINEE)"}	{"FORGES DE L'EMINEE"}
43.0013	{'Ets MTR', 'REAU', 'ANTEA', 'La société MTR'}	{'Ancienne Manufacture Textile de Riotord'}	{'Soc TEINTURES ET IMPRESSIONS'}
63.0048	{'Jean COUZON', 'Me Jean - François PETAVY', 'Ets COUZON', 'Polival', 'la société " Tout Inox "', 'BIOBASIC', 'la société Polival', 'La DREAL'}	{'COUZON (site Valette)'}	{'COUZON JEAN SA'}
03.0019	{'ELF', 'la société ELF ANTAR FRANCE', 'le préfet', 'la DDE', 'la DRIRE', 'La société TOTAL ELF'}	{"Ancien dépot d'hydrocarbures ELF"}	{'ELF-ANTAR FRANCE. Anc. SA LAMURE-UNION'}
03.0003	{'le préfet', 'la société Landis+Gyr', 'La DRIRE', 'EDF', 'la DRIRE', 'le sous-préfet de Montluçon', 'par la société Landis et Gyr'}	{'LANDIS + GYR ( ex SIEMENS METERING et LANDYS & GYR)'}	{'Sté SIEMENS. Ets LANDIS et GYR. Ets. HUSTER et  Ets. HAYEM'}
43.0003	{'GDF SUEZ', 'Gaz de France', "le Ministère de l' Environnement", 'EDF GDF Services', 'La société ENGIE'}	{'Centre EDF GDF SERVICES'}	{"GDF (GAZ DE FRANCE). Cies REUNIES DE GAZ ET D'ELECTRICITE"}
63.0061	{'Le site MSD', 'SODETEC', 'MSD', 'SITA Remédiation', 'La ville de Clermont - Ferrand', 'MSD Chibret', 'la société IMMOCHAN', 'Clermont - Ferrand', 'SITA FD de Drambon'}	{'MSD CHIBRET (Merck Sharp Dohme)'}	{'MSD CHIBRET'}
